,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
CD68+pSTAT3+,0.22766026920146573,0.23597902651149338,0.0914307946697792,0.027081617223908554,0.0733971888876656,0.23561593453325058,0.08005995979967977,0.03188721993790383,0.1836844948676391,0.03245970815771483,0.019071091159815746,0.2768221887766072,0.03736116929138315,0.08003344681359374,0.007581414048589972,0.06437238013082548,0.04034671275157856,0.4439612213463804,0.0,0.006056358744084235
CD163+pSTAT3+,0.037187534012988424,0.045286148440355965,0.24187011639594075,0.016926010764942847,0.17982311277478072,2.755365530346566,0.251252001498995,0.026852395737182174,3.0318746623446784,0.14213417662999375,0.06161429451632779,1.7442485486992045,0.011887644774531005,0.11825837663501165,0.01631152719545115,0.5409880835237051,0.029587589351157618,2.6509317145359548,0.00597359670257462,0.01211271748816847
CD206+pSTAT3+,0.32471066284511846,0.0362834803769117,0.09207924002204713,0.03949402511819998,0.1467943777753312,1.5956753940341277,0.2878751745988485,0.09062683561298984,1.5321447866018367,0.08065745663432171,0.11736056098348151,4.180104636995628,1.1355531151290092,0.26040733440840946,0.016771006834759634,0.22519495944756793,0.4895401147191532,4.529461508260095,0.01792079010772386,0.07267630492901082
CD11c+pSTAT3+,5.690599717011937,0.36474446063105975,0.3131991051454139,0.3452906196048341,0.22386142610738008,1.03479453524278,0.19248458419923006,0.38935973818914155,0.3168017287952458,0.9437906053735571,0.07335035061467594,1.6761628323657993,0.9147825693162905,0.20545899779012125,0.32347366607317213,0.3411519404913108,1.919158636550087,5.7669656609585935,0.2429262659047012,0.33742570145612166
CD68+CD163+CD11c+pSTAT3+,0.014512208395312556,0.023734306712716677,0.07003209804493726,0.003385202152988569,0.04403831333259936,0.11914887095909094,0.047695295199809216,0.0033565494671477718,0.09681253376553214,0.021639805438476555,0.0058680280491740745,0.09585752167992546,0.003962548258177002,0.016723406796870333,0.004824536212739074,0.010186874970197973,0.005379561700210475,0.403189272447223,0.0,0.0008651941062977478
CD68+CD163+Ki67+,0.0027210390741211044,0.14977165960093627,0.5557176668936226,0.005642003588314282,0.17248339388601416,0.09960998858316283,0.19078118079923687,0.0033565494671477718,0.13182063749324688,0.013770785279030537,0.0058680280491740745,0.12900451515803052,0.0,0.07883891775667443,0.009878812245132387,0.010186874970197973,0.014793794675578809,0.3586421430944399,0.001991198900858207,0.0
CD68+CD163+CD206+Ki67+,0.0027210390741211044,0.0024552731082120704,0.08235255973802807,0.004513602870651426,0.16147381555286433,0.06512960791976032,0.10646271249957415,0.0016782747335738859,0.12576985413290115,0.009836275199307526,0.004401021036880556,0.12900451515803052,0.0,0.058531923789046175,0.0039055769341221065,0.002384162227067611,0.01210401382547357,0.2884237866570022,0.001991198900858207,0.0
CD163+CD206+Ki67+,0.006349091172949243,0.003000889354481419,0.2729954933048018,0.004513602870651426,0.510110462769276,0.39039453217785747,0.1865226722992539,0.0016782747335738859,0.4451647757968666,0.015738040318892043,0.022005105184402782,0.381638357342507,0.0016982349677901437,0.18276294570865437,0.009649072425478147,0.017556103672043313,0.02017335637578928,1.2797861737791068,0.019911989008582067,0.14535260985802165
CD68+CD11c+Ki67+,0.03990857308710953,0.21879211475400892,0.41630191615601597,0.005642003588314282,0.20918198832984694,0.05746730110567087,0.09198378359963207,0.015104472602164975,0.07909238249594813,0.02409887423830344,0.035208168295044445,0.028667670035117894,0.0390594042591733,0.02986322642298274,0.02366320142438688,0.014955199424333194,0.0430364936016838,0.2891788227477273,0.009955994504291034,0.0017303882125954957
CD11c+CD205+Ki67+,0.008163117222363313,0.003819313723885442,0.21722919300975913,0.0011284007176628565,0.0,0.07470749143737214,0.03236466459987054,0.005034824200721658,0.02247433819556996,0.021147991678511183,0.0014670070122935186,0.013437970328961515,0.003962548258177002,0.010750761512273787,0.2127390729998277,0.006719002639917811,0.027570253713578685,0.2740781009332246,0.007964795603432828,0.0008651941062977478
CD11c+CD103+Ki67+,0.005442078148242209,0.018278144250023186,0.05057873747689914,0.0011284007176628565,0.08073690777643217,0.10535671869372992,0.10475930909958098,0.010069648401443317,0.06353322528363047,0.042295983357022365,0.051345245430273155,0.011646240951766645,0.010755488129337576,0.004778116227677239,0.07489518120728275,0.005635292536705261,0.02286313722589452,0.22575579112681585,0.01194719340514924,0.0051911646377864875
